planName,skillLevel,goal,equipment,durationMinutes,focus,exercises
Intermediate Stamina Plan #1,Intermediate,Stamina,Kettlebell,35,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Stamina Plan #2,Pro,Stamina,Kettlebell,25,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Power Plan #3,Pro,Power,None,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Stamina Plan #4,Pro,Stamina,None,20,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Power Plan #5,Pro,Power,None,25,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Fat Loss Plan #6,Intermediate,Fat Loss,Kettlebell,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Stamina Plan #7,Pro,Stamina,Kettlebell,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Power Plan #8,Intermediate,Power,Kettlebell,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Stamina Plan #9,Pro,Stamina,Kettlebell,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Stamina Plan #10,Pro,Stamina,Gym,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Fat Loss Plan #11,Intermediate,Fat Loss,Kettlebell,20,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Endurance Plan #12,Pro,Endurance,None,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Power Plan #13,Pro,Power,None,40,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Fat Loss Plan #14,Pro,Fat Loss,Kettlebell,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Stamina Plan #15,Pro,Stamina,Gym,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Fat Loss Plan #16,Pro,Fat Loss,Kettlebell,40,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Power Plan #17,Pro,Power,Gym,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Endurance Plan #18,Pro,Endurance,None,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Fat Loss Plan #19,Intermediate,Fat Loss,Gym,20,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Stamina Plan #20,Beginner,Stamina,Kettlebell,30,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Stamina Plan #21,Pro,Stamina,Gym,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Stamina Plan #22,Beginner,Stamina,Gym,15,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Power Plan #23,Pro,Power,None,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Endurance Plan #24,Pro,Endurance,Kettlebell,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Stamina Plan #25,Intermediate,Stamina,None,30,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Endurance Plan #26,Beginner,Endurance,Gym,15,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Fat Loss Plan #27,Pro,Fat Loss,None,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Power Plan #28,Beginner,Power,None,25,Power,Default Exercises;Go Here
Intermediate Power Plan #29,Intermediate,Power,None,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Stamina Plan #30,Beginner,Stamina,None,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Endurance Plan #31,Pro,Endurance,Gym,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Endurance Plan #32,Pro,Endurance,Gym,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Power Plan #33,Intermediate,Power,Gym,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Stamina Plan #34,Intermediate,Stamina,None,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Stamina Plan #35,Intermediate,Stamina,None,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Power Plan #36,Beginner,Power,None,20,Power,Default Exercises;Go Here
Beginner Stamina Plan #37,Beginner,Stamina,None,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Power Plan #38,Beginner,Power,Kettlebell,25,Power,Default Exercises;Go Here
Beginner Stamina Plan #39,Beginner,Stamina,Kettlebell,30,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Stamina Plan #40,Beginner,Stamina,Gym,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Stamina Plan #41,Pro,Stamina,None,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Fat Loss Plan #42,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Stamina Plan #43,Beginner,Stamina,Gym,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Endurance Plan #44,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Power Plan #45,Pro,Power,Kettlebell,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Endurance Plan #46,Beginner,Endurance,Gym,40,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Power Plan #47,Pro,Power,None,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Endurance Plan #48,Intermediate,Endurance,Gym,20,Endurance,Interval Running;Cycling;Swimming
Pro Fat Loss Plan #49,Pro,Fat Loss,None,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Fat Loss Plan #50,Pro,Fat Loss,None,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Stamina Plan #51,Intermediate,Stamina,None,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Fat Loss Plan #52,Intermediate,Fat Loss,Gym,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Stamina Plan #53,Pro,Stamina,Gym,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Stamina Plan #54,Beginner,Stamina,Kettlebell,30,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Power Plan #55,Intermediate,Power,Gym,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Fat Loss Plan #56,Pro,Fat Loss,Kettlebell,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Endurance Plan #57,Intermediate,Endurance,Kettlebell,30,Endurance,Interval Running;Cycling;Swimming
Pro Endurance Plan #58,Pro,Endurance,Gym,25,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Fat Loss Plan #59,Beginner,Fat Loss,Kettlebell,40,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Endurance Plan #60,Pro,Endurance,Kettlebell,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Fat Loss Plan #61,Intermediate,Fat Loss,Gym,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Fat Loss Plan #62,Pro,Fat Loss,Kettlebell,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Stamina Plan #63,Beginner,Stamina,Gym,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Power Plan #64,Intermediate,Power,None,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Endurance Plan #65,Intermediate,Endurance,Gym,25,Endurance,Interval Running;Cycling;Swimming
Pro Stamina Plan #66,Pro,Stamina,Gym,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Power Plan #67,Intermediate,Power,Kettlebell,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Stamina Plan #68,Intermediate,Stamina,Gym,20,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Fat Loss Plan #69,Intermediate,Fat Loss,Kettlebell,25,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Fat Loss Plan #70,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Fat Loss Plan #71,Pro,Fat Loss,Gym,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Fat Loss Plan #72,Beginner,Fat Loss,Kettlebell,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Endurance Plan #73,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Stamina Plan #74,Intermediate,Stamina,Gym,20,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Stamina Plan #75,Beginner,Stamina,Kettlebell,15,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Fat Loss Plan #76,Beginner,Fat Loss,Gym,40,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Power Plan #77,Pro,Power,None,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Stamina Plan #78,Pro,Stamina,None,25,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Endurance Plan #79,Beginner,Endurance,Gym,30,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Endurance Plan #80,Intermediate,Endurance,Gym,20,Endurance,Interval Running;Cycling;Swimming
Pro Stamina Plan #81,Pro,Stamina,Gym,25,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Fat Loss Plan #82,Pro,Fat Loss,None,40,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Stamina Plan #83,Pro,Stamina,Gym,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Fat Loss Plan #84,Pro,Fat Loss,Kettlebell,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Power Plan #85,Pro,Power,Gym,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Stamina Plan #86,Beginner,Stamina,Gym,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Fat Loss Plan #87,Intermediate,Fat Loss,None,20,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Endurance Plan #88,Beginner,Endurance,Gym,40,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Stamina Plan #89,Beginner,Stamina,Kettlebell,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Power Plan #90,Pro,Power,Gym,40,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Fat Loss Plan #91,Intermediate,Fat Loss,None,35,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Fat Loss Plan #92,Intermediate,Fat Loss,None,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Endurance Plan #93,Intermediate,Endurance,Kettlebell,25,Endurance,Interval Running;Cycling;Swimming
Intermediate Endurance Plan #94,Intermediate,Endurance,Kettlebell,40,Endurance,Interval Running;Cycling;Swimming
Pro Power Plan #95,Pro,Power,Gym,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Endurance Plan #96,Intermediate,Endurance,Kettlebell,40,Endurance,Interval Running;Cycling;Swimming
Intermediate Fat Loss Plan #97,Intermediate,Fat Loss,Gym,20,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Stamina Plan #98,Beginner,Stamina,Gym,35,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Endurance Plan #99,Intermediate,Endurance,Kettlebell,25,Endurance,Interval Running;Cycling;Swimming
Intermediate Stamina Plan #100,Intermediate,Stamina,Kettlebell,20,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Fat Loss Plan #101,Pro,Fat Loss,Kettlebell,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Endurance Plan #102,Intermediate,Endurance,Gym,25,Endurance,Interval Running;Cycling;Swimming
Beginner Fat Loss Plan #103,Beginner,Fat Loss,None,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Endurance Plan #104,Pro,Endurance,None,25,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Power Plan #105,Intermediate,Power,Gym,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Power Plan #106,Intermediate,Power,Kettlebell,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
