planName,skillLevel,goal,equipment,durationMinutes,focus,exercises
Beginner Fat Loss Plan #1,Beginner,Fat Loss,Kettlebell,15,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Endurance Plan #2,Pro,Endurance,Gym,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Stamina Plan #3,Pro,Stamina,Kettlebell,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Fat Loss Plan #4,Pro,Fat Loss,Kettlebell,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Fat Loss Plan #5,Intermediate,Fat Loss,Gym,25,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Power Plan #6,Intermediate,Power,Kettlebell,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Stamina Plan #7,Beginner,Stamina,None,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Power Plan #8,Pro,Power,None,25,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Fat Loss Plan #9,Pro,Fat Loss,Gym,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Endurance Plan #10,Pro,Endurance,None,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Fat Loss Plan #11,Intermediate,Fat Loss,Kettlebell,25,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Endurance Plan #12,Pro,Endurance,Gym,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Fat Loss Plan #13,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Power Plan #14,Intermediate,Power,Gym,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Fat Loss Plan #15,Pro,Fat Loss,Kettlebell,20,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Stamina Plan #16,Beginner,Stamina,Kettlebell,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Endurance Plan #17,Intermediate,Endurance,None,35,Endurance,Interval Running;Cycling;Swimming
Beginner Power Plan #18,Beginner,Power,Kettlebell,40,Power,Default Exercises;Go Here
Pro Fat Loss Plan #19,Pro,Fat Loss,Gym,20,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Endurance Plan #20,Pro,Endurance,Kettlebell,35,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Fat Loss Plan #21,Pro,Fat Loss,Kettlebell,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Power Plan #22,Intermediate,Power,None,40,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Endurance Plan #23,Intermediate,Endurance,None,40,Endurance,Interval Running;Cycling;Swimming
Pro Stamina Plan #24,Pro,Stamina,None,20,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Fat Loss Plan #25,Intermediate,Fat Loss,None,35,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Endurance Plan #26,Intermediate,Endurance,None,25,Endurance,Interval Running;Cycling;Swimming
Intermediate Stamina Plan #27,Intermediate,Stamina,Gym,30,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Stamina Plan #28,Beginner,Stamina,None,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Endurance Plan #29,Beginner,Endurance,Gym,20,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Fat Loss Plan #30,Beginner,Fat Loss,None,40,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Stamina Plan #31,Intermediate,Stamina,Kettlebell,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Power Plan #32,Beginner,Power,Gym,35,Power,Default Exercises;Go Here
Intermediate Stamina Plan #33,Intermediate,Stamina,None,40,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Endurance Plan #34,Beginner,Endurance,Kettlebell,15,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Power Plan #35,Intermediate,Power,None,40,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Power Plan #36,Pro,Power,None,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Fat Loss Plan #37,Pro,Fat Loss,Gym,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Fat Loss Plan #38,Pro,Fat Loss,None,20,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Fat Loss Plan #39,Pro,Fat Loss,None,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Stamina Plan #40,Intermediate,Stamina,Kettlebell,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Endurance Plan #41,Pro,Endurance,None,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Endurance Plan #42,Beginner,Endurance,Gym,35,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Stamina Plan #43,Intermediate,Stamina,None,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Stamina Plan #44,Intermediate,Stamina,Kettlebell,30,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Endurance Plan #45,Intermediate,Endurance,Gym,30,Endurance,Interval Running;Cycling;Swimming
Intermediate Endurance Plan #46,Intermediate,Endurance,None,25,Endurance,Interval Running;Cycling;Swimming
Pro Fat Loss Plan #47,Pro,Fat Loss,None,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Endurance Plan #48,Pro,Endurance,None,35,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Power Plan #49,Pro,Power,None,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Endurance Plan #50,Beginner,Endurance,None,15,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Endurance Plan #51,Beginner,Endurance,Kettlebell,30,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Power Plan #52,Beginner,Power,None,35,Power,Default Exercises;Go Here
Beginner Fat Loss Plan #53,Beginner,Fat Loss,None,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Power Plan #54,Pro,Power,Gym,25,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Endurance Plan #55,Beginner,Endurance,Kettlebell,20,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Endurance Plan #56,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Power Plan #57,Intermediate,Power,Kettlebell,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Endurance Plan #58,Intermediate,Endurance,Kettlebell,35,Endurance,Interval Running;Cycling;Swimming
Beginner Stamina Plan #59,Beginner,Stamina,Gym,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Stamina Plan #60,Pro,Stamina,Gym,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Endurance Plan #61,Pro,Endurance,None,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Power Plan #62,Pro,Power,Gym,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Endurance Plan #63,Beginner,Endurance,Gym,15,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Power Plan #64,Intermediate,Power,Kettlebell,40,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Fat Loss Plan #65,Pro,Fat Loss,Gym,20,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Power Plan #66,Beginner,Power,None,35,Power,Default Exercises;Go Here
Intermediate Fat Loss Plan #67,Intermediate,Fat Loss,Kettlebell,15,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Stamina Plan #68,Intermediate,Stamina,None,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Stamina Plan #69,Intermediate,Stamina,Gym,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Stamina Plan #70,Intermediate,Stamina,Gym,20,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Power Plan #71,Beginner,Power,None,40,Power,Default Exercises;Go Here
Intermediate Endurance Plan #72,Intermediate,Endurance,None,25,Endurance,Interval Running;Cycling;Swimming
Intermediate Fat Loss Plan #73,Intermediate,Fat Loss,Gym,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Stamina Plan #74,Intermediate,Stamina,None,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Power Plan #75,Intermediate,Power,Kettlebell,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Power Plan #76,Intermediate,Power,None,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Fat Loss Plan #77,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Fat Loss Plan #78,Pro,Fat Loss,Gym,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Endurance Plan #79,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Power Plan #80,Beginner,Power,Gym,40,Power,Default Exercises;Go Here
Beginner Power Plan #81,Beginner,Power,Gym,25,Power,Default Exercises;Go Here
Pro Fat Loss Plan #82,Pro,Fat Loss,Kettlebell,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Power Plan #83,Beginner,Power,Gym,20,Power,Default Exercises;Go Here
Intermediate Fat Loss Plan #84,Intermediate,Fat Loss,Kettlebell,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Fat Loss Plan #85,Pro,Fat Loss,Gym,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Stamina Plan #86,Intermediate,Stamina,None,40,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Power Plan #87,Pro,Power,None,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Endurance Plan #88,Intermediate,Endurance,None,35,Endurance,Interval Running;Cycling;Swimming
Pro Stamina Plan #89,Pro,Stamina,None,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Power Plan #90,Intermediate,Power,Gym,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Fat Loss Plan #91,Beginner,Fat Loss,Gym,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Fat Loss Plan #92,Intermediate,Fat Loss,Gym,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Power Plan #93,Intermediate,Power,None,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Power Plan #94,Intermediate,Power,None,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Stamina Plan #95,Pro,Stamina,None,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
