planName,skillLevel,goal,equipment,durationMinutes,focus,exercises
Intermediate Stamina Plan #1,Intermediate,Stamina,Gym,20,Stamina,Circuit Training;Cycling Intervals;Arm Circles;CrossFit WOD;Jumping Jacks
Intermediate Fat Loss Plan #2,Intermediate,Fat Loss,None,20,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Intermediate Endurance Plan #3,Intermediate,Endurance,None,30,Endurance,Interval Running;Cycling;Swimming;Rowing Machine;Elliptical Trainer
Pro Endurance Plan #4,Pro,Endurance,None,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Pro Fat Loss Plan #5,Pro,Fat Loss,None,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Beginner Fat Loss Plan #6,Beginner,Fat Loss,Kettlebell,15,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Intermediate Power Plan #7,Intermediate,Power,Gym,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Pro Power Plan #8,Pro,Power,None,30,Power,Broad Jumps;Wall Ball Throws;Box Jumps;Jump Squats;Explosive Lunges;Plyometric Lunges
Pro Endurance Plan #9,Pro,Endurance,Gym,35,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Intermediate Endurance Plan #10,Intermediate,Endurance,Kettlebell,40,Endurance,Interval Running;Cycling;Swimming;Rowing Machine;Elliptical Trainer
Intermediate Power Plan #11,Intermediate,Power,None,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Pro Power Plan #12,Pro,Power,Gym,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Endurance Plan #13,Beginner,Endurance,Gym,15,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Beginner Stamina Plan #14,Beginner,Stamina,Gym,30,Stamina,Jump Rope;Stair Climber;Shuttle Runs;Circuit Training;Interval Running
Pro Stamina Plan #15,Pro,Stamina,Gym,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Pro Stamina Plan #16,Pro,Stamina,Kettlebell,15,Stamina,Cycling Intervals;Swimming Intervals;Shuttle Runs;Arm Circles;HIIT Circuit
Pro Power Plan #17,Pro,Power,None,25,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Intermediate Power Plan #18,Intermediate,Power,Gym,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Beginner Power Plan #19,Beginner,Power,None,20,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Pro Stamina Plan #20,Pro,Stamina,Kettlebell,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Pro Power Plan #21,Pro,Power,Kettlebell,25,Power,Single Leg Hops;Advanced Box Jumps;Heavy Kettlebell Swings;Explosive Lunges;Leg Swings;Wall Ball Throws
Beginner Stamina Plan #22,Beginner,Stamina,Kettlebell,35,Stamina,Jump Rope;Stair Climber;Shuttle Runs;Circuit Training;Interval Running
Pro Endurance Plan #23,Pro,Endurance,None,15,Endurance,Leg Swings;Jumping Jacks;Elliptical Trainer;Cycling Sprints;Rowing Machine
Intermediate Power Plan #24,Intermediate,Power,None,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Beginner Power Plan #25,Beginner,Power,Gym,35,Power,Medicine Ball Slams;Thruster Jumps;Box Jumps;Plyometric Lunges
Pro Stamina Plan #26,Pro,Stamina,None,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Beginner Fat Loss Plan #27,Beginner,Fat Loss,Kettlebell,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Pro Stamina Plan #28,Pro,Stamina,None,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Intermediate Fat Loss Plan #29,Intermediate,Fat Loss,Gym,20,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Beginner Fat Loss Plan #30,Beginner,Fat Loss,Gym,20,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Pro Fat Loss Plan #31,Pro,Fat Loss,Kettlebell,25,Fat Loss,Battle Ropes;Power Snatches;Rowing Sprints;HIIT Sprints;Intense Battle Ropes
Pro Endurance Plan #32,Pro,Endurance,None,25,Endurance,Cycling;Cross Trainer;Neck Rolls;Rowing Intervals;Torso Twists
Pro Power Plan #33,Pro,Power,Gym,35,Power,Jump Squats;Broad Jumps;Dumbbell Snatches;Single Leg Hops;Burpees;Power Cleans
Intermediate Fat Loss Plan #34,Intermediate,Fat Loss,None,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Pro Stamina Plan #35,Pro,Stamina,None,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Pro Endurance Plan #36,Pro,Endurance,Kettlebell,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Pro Stamina Plan #37,Pro,Stamina,None,25,Stamina,Stair Running;Tabata Intervals;CrossFit WOD;Jumping Jacks;Swimming Intervals;Full Body Circuit
Intermediate Stamina Plan #38,Intermediate,Stamina,Gym,35,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Pro Fat Loss Plan #39,Pro,Fat Loss,Kettlebell,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Pro Power Plan #40,Pro,Power,Gym,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Power Plan #41,Beginner,Power,Kettlebell,40,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Beginner Stamina Plan #42,Beginner,Stamina,None,30,Stamina,AMRAP Workouts;Interval Running;CrossFit WOD;Circuit Training
Beginner Endurance Plan #43,Beginner,Endurance,None,30,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Intermediate Fat Loss Plan #44,Intermediate,Fat Loss,Gym,15,Fat Loss,Weighted Burpees;Kettlebell Swings;Intense Battle Ropes;Battle Ropes;High Knees
Pro Power Plan #45,Pro,Power,None,40,Power,Dumbbell Snatches;Medicine Ball Slams;Heavy Kettlebell Swings;Clapping Push-ups;Arm Circles
Beginner Endurance Plan #46,Beginner,Endurance,Gym,30,Endurance,Cycling;Cross Trainer;Swimming;Pool Swimming;Swimming Laps
Pro Power Plan #47,Pro,Power,None,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Stamina Plan #48,Beginner,Stamina,None,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs;Circuit Training;Interval Running
Beginner Fat Loss Plan #49,Beginner,Fat Loss,None,15,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Pro Fat Loss Plan #50,Pro,Fat Loss,Gym,40,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Beginner Power Plan #51,Beginner,Power,None,40,Power,Single Leg Hops;Plyometric Push-ups;Broad Jumps;Dumbbell Snatches
Beginner Power Plan #52,Beginner,Power,None,25,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Pro Endurance Plan #53,Pro,Endurance,Kettlebell,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Intermediate Power Plan #54,Intermediate,Power,None,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Pro Power Plan #55,Pro,Power,Kettlebell,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Pro Power Plan #56,Pro,Power,Kettlebell,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Fat Loss Plan #57,Beginner,Fat Loss,None,25,Fat Loss,Mountain Climbers;Sprint Intervals;Jumping Jacks;Jump Rope Intervals;Assault Bike Sprints
Beginner Endurance Plan #58,Beginner,Endurance,Gym,40,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Beginner Stamina Plan #59,Beginner,Stamina,Gym,35,Stamina,Fartlek Training;EMOM Workouts;Interval Running;Leg Swings;Rowing Intervals
Beginner Fat Loss Plan #60,Beginner,Fat Loss,Gym,25,Fat Loss,Mountain Climbers;Arm Circles;Leg Swings;Jumping Jacks;Rowing Sprints
Beginner Endurance Plan #61,Beginner,Endurance,Gym,25,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Beginner Fat Loss Plan #62,Beginner,Fat Loss,Kettlebell,20,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Pro Fat Loss Plan #63,Pro,Fat Loss,Kettlebell,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Pro Power Plan #64,Pro,Power,None,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Intermediate Stamina Plan #65,Intermediate,Stamina,Kettlebell,25,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Intermediate Stamina Plan #66,Intermediate,Stamina,Kettlebell,20,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Beginner Stamina Plan #67,Beginner,Stamina,Kettlebell,35,Stamina,Jump Rope;Stair Climber;Shuttle Runs;Circuit Training;Interval Running
Beginner Power Plan #68,Beginner,Power,None,15,Power,Thruster Jumps;Broad Jumps;Power Cleans;Clapping Push-ups;Tuck Jumps
Beginner Power Plan #69,Beginner,Power,Gym,20,Power,Clapping Push-ups;Jump Squats;Tuck Jumps;Thruster Jumps
Beginner Power Plan #70,Beginner,Power,None,40,Power,Broad Jumps;Thruster Jumps;Power Cleans;Leg Swings
Beginner Stamina Plan #71,Beginner,Stamina,Kettlebell,30,Stamina,Jump Rope;Stair Climber;Shuttle Runs;Circuit Training;Interval Running
Beginner Fat Loss Plan #72,Beginner,Fat Loss,Gym,40,Fat Loss,Jump Rope Intervals;Arm Circles;Sprint Burpees;Sprint Intervals;Assault Bike Sprints
Intermediate Endurance Plan #73,Intermediate,Endurance,None,40,Endurance,Jumping Jacks;Walking;Neck Rolls;Leg Swings;Long Distance Running;Arm Circles
Intermediate Stamina Plan #74,Intermediate,Stamina,Kettlebell,20,Stamina,Swimming Intervals;Leg Swings;HIIT Circuit;Jumping Jacks;Full Body Circuit
Pro Stamina Plan #75,Pro,Stamina,Gym,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Beginner Fat Loss Plan #76,Beginner,Fat Loss,Gym,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Beginner Power Plan #77,Beginner,Power,None,15,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Pro Fat Loss Plan #78,Pro,Fat Loss,Gym,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Pro Fat Loss Plan #79,Pro,Fat Loss,None,25,Fat Loss,Battle Ropes;Sprint Burpees;Assault Bike Sprints;Mountain Climbers;Weighted Burpees;Sprint Intervals
Intermediate Endurance Plan #80,Intermediate,Endurance,Kettlebell,35,Endurance,Interval Running;Cycling;Swimming;Rowing Machine;Elliptical Trainer
Intermediate Stamina Plan #81,Intermediate,Stamina,Kettlebell,35,Stamina,CrossFit WOD;Swimming Intervals;Full Body Circuit;EMOM Workouts;Assault Bike;Rowing Intervals
Intermediate Stamina Plan #82,Intermediate,Stamina,Gym,30,Stamina,Circuit Training;Interval Running;HIIT Circuit;Full Body Circuit;Stair Running
Beginner Power Plan #83,Beginner,Power,Kettlebell,15,Power,Dumbbell Snatches;Arm Circles;Medicine Ball Slams;Clapping Push-ups
Beginner Endurance Plan #84,Beginner,Endurance,Gym,15,Endurance,Rowing Machine;Swimming Laps;Rowing Intervals;Swimming
Beginner Stamina Plan #85,Beginner,Stamina,Kettlebell,15,Stamina,Circuit Training;Rowing Intervals;Full Body Circuit;Leg Swings;Assault Bike
Beginner Fat Loss Plan #86,Beginner,Fat Loss,Kettlebell,15,Fat Loss,Jump Rope Intervals;Arm Circles;High Knees;Leg Swings;Mountain Climbers
Beginner Stamina Plan #87,Beginner,Stamina,Kettlebell,35,Stamina,Jump Rope;Stair Climber;Shuttle Runs;Circuit Training;Interval Running
Pro Power Plan #88,Pro,Power,Kettlebell,25,Power,Jump Squats;Power Cleans;Jumping Burpees;Leg Swings;Plyometric Push-ups
Pro Stamina Plan #89,Pro,Stamina,Gym,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Intermediate Endurance Plan #90,Intermediate,Endurance,None,35,Endurance,Interval Running;Cycling;Swimming;Rowing Machine;Elliptical Trainer
Intermediate Stamina Plan #91,Intermediate,Stamina,Gym,40,Stamina,Swimming Intervals;AMRAP Workouts;Rowing Intervals;Circuit Training;Fartlek Training;Stair Running
Beginner Power Plan #92,Beginner,Power,Gym,15,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Beginner Endurance Plan #93,Beginner,Endurance,Kettlebell,30,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Intermediate Stamina Plan #94,Intermediate,Stamina,None,40,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Intermediate Stamina Plan #95,Intermediate,Stamina,None,35,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Beginner Fat Loss Plan #96,Beginner,Fat Loss,Kettlebell,15,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Beginner Endurance Plan #97,Beginner,Endurance,Gym,30,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Beginner Endurance Plan #98,Beginner,Endurance,None,40,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Pro Stamina Plan #99,Pro,Stamina,Kettlebell,20,Stamina,Circuit Training;Leg Swings;AMRAP Workouts;HIIT Circuit;Cycling Intervals
Intermediate Endurance Plan #100,Intermediate,Endurance,Kettlebell,20,Endurance,Interval Running;Cycling;Swimming;Rowing Machine;Elliptical Trainer
Intermediate Fat Loss Plan #101,Intermediate,Fat Loss,None,25,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Pro Endurance Plan #102,Pro,Endurance,Gym,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Intermediate Fat Loss Plan #103,Intermediate,Fat Loss,Kettlebell,30,Fat Loss,HIIT Sprints;Mountain Climbers;Power Snatches;Battle Ropes;Burpees
Pro Endurance Plan #104,Pro,Endurance,Kettlebell,25,Endurance,Stair Climber;Long Distance Running;Jump Rope;Steady State Running;Cycling
Beginner Power Plan #105,Beginner,Power,Gym,30,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Pro Power Plan #106,Pro,Power,Gym,25,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Pro Endurance Plan #107,Pro,Endurance,Kettlebell,25,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Intermediate Stamina Plan #108,Intermediate,Stamina,None,15,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Intermediate Power Plan #109,Intermediate,Power,Gym,20,Power,Plyometric Lunges;Dumbbell Snatches;Thruster Jumps;Box Jumps;Explosive Lunges;Arm Circles
Beginner Fat Loss Plan #110,Beginner,Fat Loss,Kettlebell,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
